City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,marsa matruh,31.3525,27.2453,16.110000000000014,51,40,7.2,EG,2023-02-04 16:06:34
98,fairbanks,64.8378,-147.7164,-14.019999999999982,82,100,0.0,US,2023-02-04 16:05:57
99,kenai,60.5544,-151.2583,-3.9699999999999696,86,100,2.57,US,2023-02-04 16:06:35
100,east london,-33.0153,27.9116,26.52000000000004,73,40,8.23,ZA,2023-02-04 16:06:36
101,acapulco,16.8634,-99.8901,28.57000000000005,46,13,0.36,MX,2023-02-04 15:58:17
102,geraldton,-28.7667,114.6,23.230000000000015,88,40,2.57,AU,2023-02-04 16:05:40
103,alofi,-19.0595,-169.9187,24.94,88,100,2.06,NU,2023-02-04 16:06:36
104,lompoc,34.6391,-120.4579,12.180000000000009,81,0,3.09,US,2023-02-04 16:04:29
105,kapaa,22.0752,-159.319,22.180000000000007,94,100,8.23,US,2023-02-04 16:06:37
106,saint george,37.1041,-113.5841,2.330000000000041,69,0,0.0,US,2023-02-04 16:02:43
107,talnakh,69.4865,88.3972,-14.17999999999995,96,100,2.52,RU,2023-02-04 16:06:37
108,dingle,10.9995,122.6711,23.58000000000004,94,100,3.6,PH,2023-02-04 16:06:38
109,mount isa,-20.7333,139.5,20.870000000000005,46,24,3.6,AU,2023-02-04 16:01:45
110,barrow,71.2906,-156.7887,-28.98999999999998,76,100,4.63,US,2023-02-04 16:06:38
111,san patricio,28.017,-97.5169,13.810000000000002,72,11,2.14,US,2023-02-04 16:06:39
112,lerwick,60.1545,-1.1494,8.0,92,100,11.14,GB,2023-02-04 16:06:39
113,poplar bluff,36.757,-90.3929,0.8799999999999955,76,0,6.17,US,2023-02-04 16:06:40
114,manjeri,11.1167,76.1167,26.379999999999995,73,40,0.0,IN,2023-02-04 16:06:40
115,mastic beach,40.7668,-72.8521,-10.0,42,6,4.47,US,2023-02-04 16:06:41
116,hamilton,39.1834,-84.5333,-0.1099999999999568,54,0,5.66,US,2023-02-04 16:04:04
117,quang ngai,15.1167,108.8,22.120000000000005,90,72,1.35,VN,2023-02-04 16:06:42
118,yambio,4.5721,28.3955,31.27000000000004,20,22,1.07,SS,2023-02-04 16:06:42
119,ahipara,-35.1667,173.1667,18.970000000000027,94,94,2.85,NZ,2023-02-04 16:06:42
120,pak thong chai,14.7226,102.0251,29.52000000000004,63,63,1.56,TH,2023-02-04 16:06:43
121,rawson,-43.3002,-65.1023,32.08000000000004,23,1,1.81,AR,2023-02-04 16:06:43
122,sao filipe,14.8961,-24.4956,23.120000000000005,63,100,4.25,CV,2023-02-04 16:06:44
123,laguna,38.421,-121.4238,9.410000000000023,96,40,2.57,US,2023-02-04 16:06:44
124,honiara,-9.4333,159.95,25.970000000000027,86,99,1.28,SB,2023-02-04 16:06:45
125,esperance,-33.8667,121.9,18.78000000000003,69,0,7.68,AU,2023-02-04 16:06:45
126,narsaq,60.9167,-46.05,-1.8799999999999957,63,100,6.55,GL,2023-02-04 16:06:46
127,oga,46.4631,10.347,1.3000000000000114,90,19,4.08,IT,2023-02-04 16:06:46
128,sisimiut,66.9395,-53.6735,-18.80999999999997,92,100,2.53,GL,2023-02-04 16:06:46
129,macae,-22.3708,-41.7869,32.860000000000014,58,0,2.06,BR,2023-02-04 16:02:52
130,havoysund,70.9963,24.6622,-1.8700000000000043,85,92,3.92,NO,2023-02-04 16:06:47
131,plattsburgh,44.6995,-73.4529,-20.34999999999997,36,0,2.06,US,2023-02-04 16:06:47
132,severo-kurilsk,50.6789,156.125,-3.419999999999959,73,100,3.74,RU,2023-02-04 16:06:48
133,bani walid,31.7566,13.9942,15.180000000000009,42,4,3.68,LY,2023-02-04 16:06:48
134,mount barker,-35.0667,138.8667,13.180000000000009,80,0,0.99,AU,2023-02-04 16:06:49
135,kimbe,-5.5502,150.1429,24.99000000000001,91,100,0.74,PG,2023-02-04 16:06:49
136,saint anthony,45.0205,-93.218,-6.949999999999989,69,0,3.6,US,2023-02-04 16:06:49
137,deputatskiy,69.3,139.9,-31.93999999999997,98,100,1.74,RU,2023-02-04 16:06:50
138,valparaiso,-33.0393,-71.6273,19.80000000000001,82,100,7.2,CL,2023-02-04 16:02:08
139,saint-ambroise,48.5501,-71.3324,-26.899999999999977,69,32,5.44,CA,2023-02-04 16:06:51
140,lorengau,-2.0226,147.2712,27.090000000000032,72,100,1.25,PG,2023-02-04 16:06:51
141,trincomalee,8.5711,81.2335,26.129999999999995,84,92,6.85,LK,2023-02-04 16:06:52
142,batagay-alyta,67.8006,130.4114,-40.65999999999997,93,64,2.17,RU,2023-02-04 16:06:52
143,santa rosa,14.3122,121.1114,25.620000000000005,77,82,4.86,PH,2023-02-04 16:06:52
144,tabuk,17.4189,121.4443,20.370000000000005,89,97,1.81,PH,2023-02-04 16:06:53
145,baykit,61.67,96.37,-15.310000000000002,99,100,0.84,RU,2023-02-04 16:06:53
146,margate,51.3813,1.3862,10.170000000000016,78,100,1.79,GB,2023-02-04 16:02:31
147,akureyri,65.6835,-18.0878,-3.849999999999966,83,20,5.22,IS,2023-02-04 16:06:54
148,carnarvon,-24.8667,113.6333,25.81,77,2,2.47,AU,2023-02-04 16:06:54
149,ninh binh,20.2539,105.975,20.31,97,98,2.56,VN,2023-02-04 16:06:55
150,chapais,49.7834,-74.8492,-27.369999999999976,86,44,3.23,CA,2023-02-04 16:06:55
151,nemuro,43.3236,145.575,-5.329999999999984,75,99,3.29,JP,2023-02-04 16:06:56
152,tuatapere,-46.1333,167.6833,19.140000000000043,86,100,2.45,NZ,2023-02-04 16:06:56
153,yatou,37.15,122.3833,0.0600000000000022,57,0,1.33,CN,2023-02-04 16:06:57
154,vrangel,42.7297,133.0839,-7.979999999999961,70,2,2.31,RU,2023-02-04 16:06:57
155,chuy,-33.6971,-53.4616,23.79000000000002,61,66,6.88,UY,2023-02-04 16:06:42
156,ostrovnoy,68.0531,39.5131,-11.71999999999997,94,99,3.86,RU,2023-02-04 16:06:58
157,ribeira grande,38.5167,-28.7,17.220000000000027,88,75,4.92,PT,2023-02-04 16:06:58
158,cuamba,-14.8031,36.5372,22.950000000000045,90,56,1.07,MZ,2023-02-04 16:06:59
159,jiblah,13.9216,44.1467,16.460000000000036,78,72,1.55,YE,2023-02-04 16:06:59
160,yulara,-25.2406,130.9889,21.650000000000038,32,0,4.78,AU,2023-02-04 16:07:00
